mu,qid,nDCG_R1,nDCG_R2
0.3,11.0,0.5099261368517586,0.6308232693696084
0.3,12.0,0.7199773775799176,0.7252006743880972
0.3,13.0,0.4583099850885371,0.4583099850885371
0.3,14.0,0.7780650091691769,0.7837834106474282
0.3,15.0,0.5138749241456431,0.6139491604128718
0.3,16.0,0.7845182542274431,0.7517426563877956
0.3,17.0,0.8613300594682277,0.8746057802173831
0.3,18.0,0.9282851645109501,0.9320194735881872
0.3,19.0,0.6549040069641665,0.6290802821216858
0.3,20.0,0.9655616430301298,0.9668620583733335
0.3,21.0,0.8107292573564864,0.8107292573564864
0.3,22.0,0.8831238105140433,0.8979350394434923
0.3,23.0,0.8834844738000237,0.8841606929965747
0.3,24.0,0.9273835820616646,0.9184994062271492
0.3,25.0,0.8242726019997224,0.8248894466617906
0.3,26.0,0.8503490718309931,0.8503490718309931
0.3,27.0,0.932127583573335,0.932127583573335
0.3,28.0,0.9428005952239759,0.9434039678986309
0.3,29.0,0.8516524622049824,0.8287739126088317
0.3,30.0,0.8831539646074478,0.8808896445096234
0.3,31.0,0.3520754855748004,0.3524453559081077
0.3,32.0,0.2839494431967705,0.2839494431967705
0.3,33.0,0.7196372486008927,0.7243556455160098
0.3,34.0,0.44857306396682933,0.4290419356995601
0.3,35.0,0.6640565901693796,0.6484309014065007
0.3,36.0,0.9767514386170004,0.9780740439803
0.3,37.0,0.7783355860841272,0.7783355860841272
0.3,38.0,0.9453382783356529,0.943164154097805
0.3,39.0,0.9664697328709919,0.9664697328709919
0.3,40.0,0.8378654121803345,0.8139056871741042
0.4,1.0,0.8364713928251899,0.8472714224617472
0.4,2.0,0.8490650495555893,0.833147647798252
0.4,3.0,0.7459413854057952,0.7435586343418025
0.4,4.0,0.25711046737534016,0.27142937711121645
0.4,5.0,0.6642047612890934,0.6294008319792094
0.4,6.0,0.9241256794184907,0.930755340365074
0.4,7.0,0.8664401977801368,0.9360082949335767
0.4,8.0,0.38097179678159365,0.38097179678159365
0.4,9.0,0.0,0.0
0.4,10.0,0.8151962527342926,0.7836428577857835
0.4,11.0,0.5099261368517586,0.6308232693696084
0.4,12.0,0.7199773775799176,0.7252006743880972
0.4,13.0,0.4583099850885371,0.4583099850885371
0.4,14.0,0.7780650091691769,0.7837834106474282
0.4,15.0,0.5138749241456431,0.6139491604128718
0.4,16.0,0.7845182542274431,0.7517426563877956
0.4,17.0,0.8613300594682277,0.8746057802173831
0.4,18.0,0.9282851645109501,0.9320194735881872
0.4,19.0,0.6549040069641665,0.6290802821216858
0.4,20.0,0.9655616430301298,0.9668620583733335
0.4,21.0,0.8107292573564864,0.8107292573564864
0.4,22.0,0.8928692285678204,0.8979350394434923
0.4,23.0,0.8834844738000237,0.8841606929965747
0.4,24.0,0.9273835820616646,0.9184994062271492
0.4,25.0,0.8205136415143893,0.8248894466617906
0.4,26.0,0.8503490718309931,0.8503490718309931
0.4,27.0,0.932127583573335,0.932127583573335
0.4,28.0,0.9428005952239759,0.9434039678986309
0.4,29.0,0.8516524622049824,0.8287739126088317
0.4,30.0,0.8831539646074478,0.8808896445096234
0.4,31.0,0.3520754855748004,0.3524453559081077
0.4,32.0,0.2839494431967705,0.2839494431967705
0.4,33.0,0.7196372486008927,0.7243556455160098
0.4,34.0,0.44857306396682933,0.4290419356995601
0.4,35.0,0.6640565901693796,0.6484309014065007
0.4,36.0,0.9767514386170004,0.9780740439803
0.4,37.0,0.7783355860841272,0.7783355860841272
0.4,38.0,0.9453382783356529,0.943164154097805
0.4,39.0,0.9664697328709919,0.9664697328709919
0.4,40.0,0.8378654121803345,0.8139056871741042
0.5,1.0,0.8364713928251899,0.8472714224617472
0.5,2.0,0.8490650495555893,0.833147647798252
0.5,3.0,0.7459413854057952,0.7435586343418025
0.5,4.0,0.25711046737534016,0.27142937711121645
0.5,5.0,0.6642047612890934,0.6294008319792094
0.5,6.0,0.9241256794184907,0.930755340365074
0.5,7.0,0.9305632475767501,0.9360082949335767
0.5,8.0,0.38097179678159365,0.38097179678159365
0.5,9.0,0.0,0.0
0.5,10.0,0.8151962527342926,0.7836428577857835
0.5,11.0,0.5099261368517586,0.6308232693696084
0.5,12.0,0.7199773775799176,0.7252006743880972
0.5,13.0,0.4583099850885371,0.4583099850885371
0.5,14.0,0.7780650091691769,0.7837834106474282
